age,gender,height,weight,bf
21.0,0,167.4,72.18,40.0
42.0,1,162.3,67.3,18.0
36.0,1,178.5,90.5,14.7
23.0,1,180.9,77.1,25.4
53.0,1,177.3,88.48,35.6
23.0,0,162.4,58.9,29.6
45.0,1,171.6,72.0,24.9
28.0,0,162.9,54.4,25.1
36.0,1,176.3,73.2,27.8
29.0,0,152.6,50.9,31.8
39.0,1,162.4,75.4,30.1
33.0,1,169.2,63.8,10.8
60.0,0,162.2,67.3,41.8
45.0,0,159.2,59.1,30.7
43.0,1,169.6,79.1,25.3
64.0,0,153.0,53.2,27.7
45.0,1,163.2,53.9,15.3
21.0,0,162.5,52.3,25.0
27.0,1,171.0,87.0,17.4
26.0,1,163.6,54.5,17.8
25.0,1,171.6,70.1,16.5
24.0,0,169.1,50.4,25.9
48.0,0,151.1,49.52,30.7
42.0,1,162.0,60.38,13.8
24.0,1,174.3,67.6,7.2
56.0,1,178.5,82.0,23.4
35.0,1,181.5,76.7,22.4
37.0,1,169.4,73.3,14.2
23.0,0,164.3,53.5,16.8
21.0,0,171.0,64.26,24.7
27.0,0,160.6,62.0,31.6
44.0,0,158.5,66.9,31.3
22.0,0,176.2,74.9,26.5
25.0,1,183.2,66.6,11.7
33.0,1,183.1,75.3,20.7
23.0,0,166.6,57.3,24.5
38.0,1,174.8,68.0,18.2
32.0,0,164.8,69.6,33.2
50.0,1,167.2,67.3,16.1
23.0,0,157.1,48.6,32.8
61.0,0,151.1,47.8,29.9
28.0,1,176.2,88.5,28.4
30.0,1,174.4,62.14,17.7
48.0,1,173.4,68.7,17.2
36.0,1,175.5,83.6,25.0
22.0,1,176.1,88.2,20.1
54.0,0,164.6,67.1,29.9
49.0,0,151.5,48.4,29.5
63.0,1,162.8,71.3,27.8
49.0,1,163.0,78.8,37.5
63.0,0,159.5,60.8,34.6
33.0,1,169.6,75.5,16.4
58.0,1,170.1,62.6,21.1
48.0,1,167.2,70.4,24.0
22.0,1,173.8,92.5,24.5
47.0,0,158.2,53.9,25.1
31.0,0,162.5,56.7,29.8
22.0,0,162.2,60.4,27.1
41.0,1,172.8,75.2,27.6
45.0,1,164.4,64.4,24.3
61.0,1,158.6,43.2,14.9
47.0,1,171.0,72.64,20.6
34.0,1,179.4,86.4,17.90698
51.0,1,171.5,62.2,15.9
26.0,0,163.6,60.4,35.6
32.0,1,182.3,78.72,14.8
50.0,1,166.5,71.2,24.7
28.0,0,159.8,62.68,34.3
37.0,1,179.0,80.7,21.2
21.0,0,169.5,62.2,30.6
36.0,1,180.7,74.0,12.8
25.0,1,176.5,74.2,20.7
61.0,1,168.4,72.1,21.5
31.0,1,179.0,75.3,20.1
29.0,1,173.7,76.1,17.3
37.0,1,171.4,71.1,18.2
30.0,1,170.0,66.0,10.3
33.0,1,168.9,69.9,20.3
58.0,0,154.0,55.0,33.1
26.0,0,167.2,58.16,20.9
26.0,1,175.6,85.4,21.5
35.0,1,169.8,70.82,25.1
29.0,1,177.5,71.6,13.4
32.0,0,154.0,53.2,24.5
22.0,1,163.8,51.9,7.8
41.0,0,161.0,54.5,25.3
30.0,0,166.0,59.0,25.1
42.0,1,174.0,66.1,21.9
27.0,1,173.9,79.0,27.0
43.0,0,162.0,72.3,40.5
28.0,0,169.0,69.1,30.4
56.0,0,161.2,55.2,26.3
45.0,1,176.0,98.5,25.7
64.0,0,157.0,56.7,30.3
35.0,0,163.2,56.0,20.6
21.0,0,168.4,46.3,25.4
27.0,1,179.9,92.88,32.0
27.0,1,170.7,86.3,34.2
21.0,1,178.3,62.8,14.9
48.0,1,177.4,78.9,22.2
