age,gender,height,weight,bf
27.0,1,172.3,75.24,21.3
25.0,1,165.0,55.8,15.7
31.0,1,179.6,78.0,20.1
32.0,1,174.5,71.1,18.4
28.0,1,173.8,67.7,17.1
36.0,0,165.4,55.4,22.0
42.0,0,164.5,63.7,32.2
33.0,1,174.9,77.2,36.9
54.0,1,166.8,67.5,27.6
28.0,1,185.0,84.6,14.4
42.0,1,169.2,65.4,19.3
57.0,0,153.0,49.0,20.9
27.0,0,156.0,53.9,35.5
22.0,1,175.7,67.9,11.3
24.0,1,181.0,84.4,20.4
45.0,0,159.0,63.1,30.9
25.0,0,164.2,66.6,30.2
26.0,1,179.9,71.5,9.7
26.0,1,169.2,70.6,21.0
21.0,0,162.7,47.2,18.9
25.0,0,161.7,63.36,31.3
59.0,0,155.9,62.7,30.2
38.0,1,166.7,67.3,23.2
44.0,1,170.0,63.3,12.9
23.0,0,164.1,59.4,29.6
62.0,1,169.0,70.7,30.5
47.0,0,158.3,53.5,29.2
48.0,1,175.8,84.5,31.4
36.0,1,176.0,81.3,24.5
50.0,0,159.8,57.1,24.4
25.0,1,170.9,70.7,15.7
26.0,1,176.7,77.2,16.3
28.0,0,159.5,51.54,24.5
30.0,1,172.1,79.5,26.7
49.0,0,151.5,52.0,27.6
40.0,1,177.6,88.6,20.3
21.0,1,172.5,66.4,12.5
31.0,1,177.5,79.5,23.0
32.0,1,178.0,84.5,21.2
27.0,1,177.6,79.7,22.8
42.0,1,168.0,61.0,14.9
52.0,1,173.6,84.9,30.3
39.0,1,173.3,69.8,23.8
33.0,0,159.6,60.5,32.1
25.0,0,161.8,57.7,21.7
31.0,1,169.9,73.1,19.2
34.0,1,183.6,76.82,16.3
26.0,1,172.1,66.1,24.9
28.0,1,180.1,82.1,15.0
58.0,1,164.2,64.0,19.8
48.0,1,169.8,75.4,14.7
23.0,1,180.1,65.9,14.4
38.0,0,157.2,51.7,27.3
43.0,0,168.3,69.3,31.9
21.0,0,159.5,51.3,35.8
56.0,1,166.7,56.9,16.5
24.0,1,164.4,66.2,17.1
58.0,0,146.5,46.4,32.9
42.0,1,174.1,103.1,30.5
45.0,1,185.4,80.0,21.9
37.0,1,168.9,78.8,23.4
31.0,1,175.3,83.6,30.1
43.0,0,164.0,50.8,22.4
23.0,0,162.4,58.9,29.6
59.0,0,165.0,63.7,31.4
63.0,1,166.6,75.5,31.6
40.0,1,174.2,77.6,17.8
27.0,0,150.5,55.7,39.6
56.0,0,160.2,62.4,33.3
35.0,1,179.0,75.0,10.7
30.0,1,172.7,78.0,26.6
56.0,1,160.2,62.7,30.2
36.0,1,171.5,80.5,21.5
60.0,1,175.1,66.5,17.3
22.0,1,172.2,70.6,24.3
22.0,1,171.9,78.46,22.9
37.0,1,174.0,75.2,18.5
21.0,0,158.1,53.6,27.63524
21.0,1,170.4,74.3,19.5
60.0,0,158.6,62.7,34.6
27.0,0,168.5,64.2,26.2
59.0,0,156.3,60.5,33.6
47.0,0,157.0,54.1,26.8
21.0,0,161.3,50.6,23.5
51.0,1,177.0,68.7,18.3
48.0,1,171.0,66.2,17.3
49.0,1,170.0,66.2,18.0
41.0,0,158.1,51.0,21.7
24.0,0,159.0,45.5,24.5
35.0,1,178.4,79.0,15.4
26.0,0,156.7,56.3,32.8
35.0,1,178.5,78.4,13.8
25.0,1,171.2,65.1,11.8
30.0,1,176.4,71.7,17.9
27.0,1,175.4,86.4,19.8
41.0,1,166.7,65.7,21.5
50.0,0,158.4,57.2,32.0
22.0,1,175.8,72.0,30.4
56.0,1,173.0,70.9,19.5
46.0,0,159.1,52.2,27.2
44.0,1,180.5,79.5,21.7
25.0,0,162.2,71.5,41.3
25.0,0,156.3,48.6,26.5
59.0,1,170.0,59.1,15.0
30.0,1,178.4,82.5,30.0
24.0,1,176.0,67.2,10.8
39.0,1,168.8,70.9,25.5
27.0,1,170.3,74.6,22.0
33.0,1,172.8,78.8,19.3
28.0,0,163.6,52.4,20.3
28.0,0,166.2,59.7,21.9
35.0,1,179.2,64.7,12.9
34.0,1,177.8,76.4,28.9
35.0,1,184.7,84.18,16.3
34.0,1,173.2,73.77,19.5
